material_id,formula,composition,symmetry,a,b,c,alpha,beta,gamma,num_atoms,crystal_system
mp-1199998,SiO2,Si38 O76,C2/m,12.539085932333744,14.094968,16.2867157096344,115.63989807962298,103.67243219954032,90.0,114,monoclinic
mp-1200292,SiO2,Si96 O192,P2_1/c,13.606316165770926,20.242473938916174,20.47811106,90.0,90.0,90.63841736463414,288,monoclinic
mp-1200685,SiO2,Si16 O32,C222,8.194867494147603,8.194867494147603,14.168736,90.0,90.0,101.97162578570224,48,orthorhombic
mp-1201738,SiO2,Si32 O64,P2_1/c,24.998059,7.226313,7.252590691905686,60.33262623559804,90.0,90.0,96,monoclinic
mp-1201887,SiO2,Si24 O48,P6/mcc,13.932699,13.932698509866709,8.619332,90.0,90.0,119.99999878944809,72,hexagonal
mp-1203655,SiO2,Si48 O96,P4/mbm,15.485202,15.485202,12.009347,90.0,90.0,90.0,144,tetragonal
mp-1204026,SiO2,Si48 O96,Ia-3d,13.4688410397986,13.4688410397986,13.4688410397986,109.47122063449069,109.47122063449069,109.47122063449069,144,cubic
mp-1204057,SiO2,Si72 O144,P6/mmm,14.467833944515537,14.46776839913536,25.354051500067133,89.9998680911064,90.0002638442968,120.0001510963674,216,hexagonal
mp-1204070,SiO2,Si18 O36,P-1,8.323067,8.324509887082241,10.426844702671897,89.72019621052478,89.65129450704802,60.02712878358751,54,triclinic
mp-1205213,SiO2,Si72 O144,Pmmm,14.43627786,14.50930019,19.18861572,90.0,90.0,90.0,216,orthorhombic
mp-12350,SiO2,Si8 O16,Fd-3m,10.813406409664717,10.813406409664717,10.813406409664717,59.99999999999999,59.99999999999999,59.99999999999999,24,cubic
mp-1244945,SiO2,Si30 O60,P1,11.235750608376629,11.120069860429991,11.50748520508757,90.4071915119544,90.74703849019814,89.5838963676523,90,triclinic
mp-1244965,SiO2,Si34 O68,P1,10.788564647615951,12.2235384147255,12.477390716966122,89.00611698741484,92.52710560660329,89.1413633926682,102,triclinic
mp-1244968,SiO2,Si34 O68,P1,12.315327146001557,11.882673148315515,11.564407166729403,86.80189822279597,86.78198931498069,88.80508687248297,102,triclinic
mp-1245026,SiO2,Si34 O68,P1,11.420681441292716,11.607798586200897,12.380033342831819,94.95090489473972,91.35904043864583,95.61624678778878,102,triclinic
mp-1248957,SiO2,Si32 O64,C2/m,14.186317802843279,18.607185280000518,7.527594035637345,90.00001817439565,99.76723489978153,90.00001659070438,96,monoclinic
mp-1249090,SiO2,Si34 O68,P6_3/m,13.23330494001992,13.233280450934638,15.806334251260235,89.99867028078845,90.00017958655724,119.99997406554,102,hexagonal
mp-1249332,SiO2,Si36 O72,P6_3/mmc,13.134541470240222,13.134542786308407,15.333216550038557,90.0002331115981,89.99979008660196,120.00065725450597,108,hexagonal
mp-1249637,SiO2,Si56 O112,C2/m,22.815950224907997,13.604128550001162,12.573582169877257,89.9999648437067,69.38730945238632,90.00001727714935,168,monoclinic
mp-1249969,SiO2,Si20 O40,P-1,13.00152069041327,11.133480996234853,9.298047684354744,92.30469030206748,107.56189539779982,103.36720593421691,60,triclinic
mp-1250261,SiO2,Si18 O36,P-6m2,13.034195350124174,13.03434874864796,7.5968293108389595,89.99873324652677,89.99964009296289,119.9992619189964,54,hexagonal
mp-1250551,SiO2,Si112 O224,Cmce,13.85788285000012,24.31510144000011,18.380142450000143,90.00000671271499,90.00001255018272,90.00000852362139,336,orthorhombic
mp-1250639,SiO2,Si120 O240,P1,13.976339322437434,13.976622002084188,41.252553050365485,90.00033295640584,89.99918597620878,120.00103590164005,360,triclinic
mp-1256499,SiO2,Si48 O96,Ia-3d,15.131888904044144,15.131888525192373,15.13188736,109.47122208631897,109.47122156157575,109.47122021964879,144,cubic
mp-1256614,SiO2,Si36 O72,P6_3/mmc,18.19348368018277,18.19362333721249,7.613508060000004,89.99999715912352,89.99999969203455,120.00025969894995,108,hexagonal
mp-1257168,SiO2,Si60 O120,P6_122,12.084896427359146,12.08487434292201,29.960619350013665,90.00176296986653,89.99803849375688,120.00223210058114,180,hexagonal
mp-1258196,SiO2,Si34 O68,P1,13.934355958845119,13.937857348941163,11.323832920392503,90.00536072944098,89.9969089445913,119.97956496030619,102,triclinic
mp-1265115,SiO2,Si8 O16,P1,2.8266158921319677,11.665190893396732,11.754293188470884,89.24322904000792,83.15765941128092,83.21907386429369,24,triclinic
mp-1268079,SiO2,Si64 O128,P2_1/c,13.275447885449514,22.011220262081064,13.937516234449898,90.0004566169863,102.4786567105565,90.00137643520301,192,monoclinic
mp-12787,SiO2,Si6 O12,C2/c,4.842381102645016,7.305841699885126,7.348153338457165,73.26386608451485,70.76177248005698,70.64593517566186,18,monoclinic
mp-1353259,SiO2,Si12 O24,P4_32_12,9.870478,9.870478,9.845242,90.0,90.0,90.0,36,tetragonal
mp-1365799,SiO2,Si16 O32,Imma,15.363224349404945,15.363224349404945,15.363224349404945,109.76827709513068,109.55551357865201,109.0906109227361,48,orthorhombic
mp-1398433,SiO2,Si4 O8,P1,4.933881,6.780527546037698,7.004500801048565,117.20759694088504,96.35381525368547,103.41653065929621,12,triclinic
mp-15078,SiO2,Si18 O36,Immm,12.440989840990941,12.440989840990941,12.440989840990941,144.87375018752962,110.25580126332092,80.5551463747384,54,orthorhombic
